Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[5]	[[269.66186273425, 497.78226062365]]	[73.166640899035, 188.165376819805]	0.9669388940686722	0.8796522674359909	2	524.8164021270604	49989	3940	0.07692307692307693	1079.3012566470638	21468	21468	699	699	1	0.9582744227054382	294.978	0.9669388940686722	0.9669388940686722	0.9349708248627469	1
[5]	[[269.66186273425, 540.4210815333]]	[88.062667272465, 188.165376819805]	0.9925833027405716	0.8834737096363577	1	524.8164021270503	49989	5613	0.07692307692307693	539.6506283235161	20922	20922	707	707	1	0.9723015781344446	365.75466666666665	0.9925833027405716	0.9925833027405716	0.9852216128793813	1
[5]	[[17.85703081759999, 337.6772535824]]	[23.290987279759996, 75.992947150095]	0.47050343260825556	0.4418646526771003	1	521.3977984879751	49997	6158	0.07692307692307693	521.3977984879751	13387	27834	458	952	1	0.46146870848699645	167.32266666666663	0.47050343260825556	0.47050343260825556	0.22137348009615126	1
[5]	[[228.7368509755, 544.03069681135]]	[48.858985513045, 173.014913927535]	0.84325852540056	0.8521444936750067	1	530.5015693109141	49989	6331	0.07692307692307693	548.5337020483032	24225	24225	832	832	1	0.8376238236201105	232.40533333333337	0.84325852540056	0.84325852540056	0.7110849406607269	1
[5]	[[195.95593572375, 458.09578512980005]]	[73.166640899035, 151.03286474541]	0.9375927512235305	0.7959613972844637	1	546.7915542193941	49989	6532	0.07692307692307693	556.2394427742427	21041	23303	726	804	1	0.9195026053192963	336.86400000000003	0.9375927512235305	0.9375927512235305	0.8790801671469091	1
[5]	[[228.7368509755, 497.78226062365]]	[66.567062980195, 188.165376819805]	0.9484737525301838	0.8635422082995499	2	530.5015693109142	49989	7894	0.07692307692307693	1097.0674040966069	23134	23134	824	824	1	0.9356934959812017	315.8666666666666	0.9484737525301838	0.9484737525301838	0.8996024592386884	1
[5]	[[269.66186273425, 494.2583172912]]	[82.755837233335, 188.165376819805]	0.9867151921888215	0.8852921193485261	1	524.8164021272149	49989	8320	0.07692307692307693	539.6506283237734	19195	19195	691	691	1	0.9699268764472415	334.9046666666667	0.9867151921888215	0.9867151921888215	0.973606870496223	1
[5]	[[-25.34902738240001, 294.47119538239997]]	[-29.93362321652, 91.25908233082001]	0.9202797121033987	0.7984085214750367	1	520.866755503554	49997	9056	0.07692307692307693	520.866755503554	21912	23608	803	865	1	0.9006911920956774	339.93666666666667	0.9202797121033987	0.9202797121033987	0.8469147485091143	1
[5]	[[304.92552583425, 544.03069681135]]	[48.858985513045, 193.257009913525]	0.79737242734559	0.8380723976194117	1	506.4676054250207	49965	10764	0.07692307692307693	510.9806334765948	15664	15664	599	599	1	0.7927155354359752	167.32066666666668	0.79737242734559	0.79737242734559	0.6358027878909982	1
[5]	[[228.7368509755, 529.7991199657499]]	[82.755837233335, 193.257009913525]	0.9400869478600412	0.8108476004317244	2	530.5015693109141	49989	10784	0.07692307692307693	1097.0674040966064	20210	21754	773	832	1	0.921785791406564	344.2426666666667	0.9400869478600412	0.9400869478600412	0.8837634695368078	1
[5]	[[302.89181237635, 540.4210815333]]	[84.98453868647499, 161.76309435169]	0.958906660303314	0.8357345250932734	1	506.81960765093186	49965	11584	0.07692307692307693	511.53063695458104	14442	15544	564	607	1	0.9510963160462295	278.30533333333335	0.958906660303314	0.958906660303314	0.9195019831740552	1
[5]	[[195.95593572375, 529.7991199657499]]	[72.39531396232, 188.165376819805]	0.8921477526984786	0.7985675980269475	2	530.1918630053997	49989	11639	0.07692307692307693	1096.0995718918741	22228	23861	869	933	1	0.8741686419953075	328.48199999999997	0.8921477526984786	0.8921477526984786	0.7959276126449457	1
[5]	[[228.7368509755, 544.03069681135]]	[105.12826324830999, 173.014913927535]	0.7599047441331608	0.6120061492466904	2	530.5015693109141	49965	11680	0.07692307692307693	1097.0674040966064	14337	21261	561	832	1	0.7500510021180904	249.832	0.7599047441331608	0.7599047441331608	0.5774552201560845	1
[5]	[[-49.724426777000005, 305.4947132052]]	[4.641105349180002, 89.99896029652]	0.8325692775031472	0.7228611922887176	1	520.8713663381584	49997	11772	0.07692307692307693	520.8713663381584	19109	22981	750	902	1	0.8165087602615119	299.0	0.8325692775031472	0.8325692775031472	0.6931716018421126	1
[5]	[[208.59052680180002, 494.53545686575]]	[60.765390372465, 188.165376819805]	0.9215188953769793	0.8557825328234747	2	530.1775894864193	49989	11847	0.07692307692307693	1096.0549671450603	22362	22362	879	879	1	0.9094302493021342	304.134	0.9215188953769793	0.9215188953769793	0.8491970745368081	1
